ticker,name,asset_class,weight,price,shares,market_value,notional_value,sector,sedol,isin,exchange
STE,STERIS PLC,Equity,0.04,147.94,26956,3987870.64,3987870.64,Health Care,BFY8C75,IE00BFY8C754,New York Stock Exchange Inc.
HRL,HORMEL FOODS CORP,Equity,0.04,44,89960,3958240,3958240,Consumer Staples,2437264,US4404521001,New York Stock Exchange Inc.
LNC,LINCOLN NATIONAL CORP,Equity,0.04,60.32,64976,3919352.32,3919352.32,Financials,2516378,US5341871094,New York Stock Exchange Inc.
CTXS,CITRIX SYSTEMS INC,Equity,0.04,96.53,40426,3902321.78,3902321.78,Information Technology,2182553,US1773761002,NASDAQ
ROKU,ROKU INC CLASS A,Equity,0.04,147.78,26382,3898731.96,3898731.96,Consumer Discretionary,BZ1LFG7,US77543R1023,NASDAQ
IT,GARTNER INC,Equity,0.04,137.33,28146,3865290.18,3865290.18,Information Technology,2372763,US3666511072,New York Stock Exchange Inc.
TSCO,TRACTOR SUPPLY,Equity,0.04,99.34,38830,3857372.2,3857372.2,Consumer Discretionary,2900335,US8923561067,NASDAQ
VMW,VMWARE INC CLASS A,Equity,0.04,154.04,25035,3856391.4,3856391.4,Information Technology,B23SN61,US9285634021,New York Stock Exchange Inc.
AAL,AMERICAN AIRLINES GROUP INC,Equity,0.04,29.94,128451,3845822.94,3845822.94,Industrials,BCV7KT2,US02376R1023,NASDAQ
CHRW,CH ROBINSON WORLDWIDE INC,Equity,0.04,86.45,44460,3843567,3843567,Industrials,2116228,US12541W2098,NASDAQ
FMC,FMC CORP,Equity,0.04,89.96,42718,3842911.28,3842911.28,Materials,2328603,US3024913036,New York Stock Exchange Inc.
JEC,JACOBS ENGINEERING GROUP INC,Equity,0.04,90.38,42482,3839523.16,3839523.16,Industrials,2469052,US4698141078,New York Stock Exchange Inc.
NVR,NVR INC,Equity,0.04,3680.06,1038,3819902.28,3819902.28,Consumer Discretionary,2637785,US62944T1051,New York Stock Exchange Inc.
TXT,TEXTRON INC,Equity,0.04,50.89,75033,3818429.37,3818429.37,Industrials,2885937,US8832031012,New York Stock Exchange Inc.
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD,Equity,0.04,54.42,70070,3813209.4,3813209.4,Consumer Discretionary,B9CGTC3,BMG667211046,New York Stock Exchange Inc.
BHGE,BAKER HUGHES CLASS A,Equity,0.04,22.64,168304,3810402.56,3810402.56,Energy,BDHLTQ5,US05722G1004,New York Stock Exchange Inc.
DRE,DUKE REALTY REIT CORP,Equity,0.04,32.39,117468,3804788.52,3804788.52,Real Estate,2284084,US2644115055,New York Stock Exchange Inc.
INVH,INVITATION HOMES INC,Equity,0.04,27.94,136082,3802131.08,3802131.08,Real Estate,BD81GW9,US46187W1071,New York Stock Exchange Inc.
TIF,TIFFANY,Equity,0.04,96.61,39282,3795034.02,3795034.02,Consumer Discretionary,2892090,US8865471085,New York Stock Exchange Inc.
FOXA,FOX CORP CLASS A,Equity,0.04,33.79,112117,3788433.43,3788433.43,Communication,BJJMGL2,US35137L1052,NASDAQ
NBL,NOBLE ENERGY INC,Equity,0.04,24.64,153687,3786847.68,3786847.68,Energy,2640761,US6550441058,New York Stock Exchange Inc.
LDOS,LEIDOS HOLDINGS INC,Equity,0.04,86.35,43852,3786620.2,3786620.2,Information Technology,BDV82B8,US5253271028,New York Stock Exchange Inc.
FNF,FIDELITY NATIONAL FINANCIAL INC,Equity,0.04,44.04,85155,3750226.2,3750226.2,Financials,BNBRDD4,US31620R3030,New York Stock Exchange Inc.
SJM,JM SMUCKER,Equity,0.04,105.85,35370,3743914.5,3743914.5,Consumer Staples,2951452,US8326964058,New York Stock Exchange Inc.
ODFL,OLD DOMINION FREIGHT LINE INC,Equity,0.04,173.71,21503,3735286.13,3735286.13,Industrials,2656423,US6795801009,NASDAQ
GDDY,GODADDY INC CLASS A,Equity,0.04,65.7,56636,3720985.2,3720985.2,Information Technology,BWFRFC6,US3802371076,New York Stock Exchange Inc.
SSNC,SS AND C TECHNOLOGIES HOLDINGS INC,Equity,0.04,52.15,71303,3718451.45,3718451.45,Information Technology,B58YSC6,US78467J1007,NASDAQ
SIVB,SVB FINANCIAL GROUP,Equity,0.04,217.76,17067,3716509.92,3716509.92,Financials,2808053,US78486Q1013,NASDAQ
XRAY,DENTSPLY SIRONA INC,Equity,0.04,51.73,71835,3716024.55,3716024.55,Health Care,BYNPPC6,US24906P1093,NASDAQ
NDAQ,NASDAQ INC,Equity,0.04,99,37497,3712203,3712203,Financials,2965107,US6311031081,NASDAQ
REG,REGENCY CENTERS REIT CORP,Equity,0.04,69.07,53561,3699458.27,3699458.27,Real Estate,2726177,US7588491032,NASDAQ
MYL,MYLAN NV,Equity,0.04,22.24,165991,3691639.84,3691639.84,Health Care,BVFMFG8,NL0011031208,NASDAQ
WYNN,WYNN RESORTS LTD,Equity,0.04,117.08,31513,3689542.04,3689542.04,Consumer Discretionary,2963811,US9831341071,NASDAQ
LBRDK,LIBERTY BROADBAND CORP SERIES C,Equity,0.04,108.62,33809,3672333.58,3672333.58,Communication,BRTLC06,US5303073051,NASDAQ
JKHY,JACK HENRY ANS ASSOCIATES INC,Equity,0.04,146.38,25064,3668868.32,3668868.32,Information Technology,2469193,US4262811015,NASDAQ
FTNT,FORTINET INC,Equity,0.04,78.37,46549,3648045.13,3648045.13,Information Technology,B5B2106,US34959E1091,NASDAQ
ELS,EQUITY LIFESTYLE PROPERTIES REIT I,Equity,0.04,132.21,27362,3617530.02,3617530.02,Real Estate,2563125,US29472R1086,New York Stock Exchange Inc.
BFB,BROWN FORMAN CORP CLASS B,Equity,0.04,65.2,55380,3610776,3610776,Consumer Staples,2146838,US1156372096,New York Stock Exchange Inc.
TDY,TELEDYNE TECHNOLOGIES INC,Equity,0.04,312.17,11556,3607436.52,3607436.52,Industrials,2503477,US8793601050,New York Stock Exchange Inc.
ETFC,E TRADE FINANCIAL CORP,Equity,0.04,44.83,79703,3573085.49,3573085.49,Financials,2299011,US2692464017,NASDAQ
Y,ALLEGHANY CORP,Equity,0.04,769.74,4611,3549271.14,3549271.14,Financials,2016801,US0171751003,New York Stock Exchange Inc.
VNO,VORNADO REALTY TRUST REIT,Equity,0.04,64.13,55117,3534653.21,3534653.21,Real Estate,2933632,US9290421091,New York Stock Exchange Inc.
VST,VISTRA ENERGY CORP,Equity,0.04,26.27,133959,3519102.93,3519102.93,Utilities,BZ8VJQ8,US92840M1027,New York Stock Exchange Inc.
VAR,VARIAN MEDICAL SYSTEMS INC,Equity,0.04,119.55,29422,3517400.1,3517400.1,Health Care,2927516,US92220P1057,New York Stock Exchange Inc.
RJF,RAYMOND JAMES INC,Equity,0.04,86.41,40646,3512220.86,3512220.86,Financials,2718992,US7547301090,New York Stock Exchange Inc.
OKTA,OKTA INC CLASS A,Equity,0.04,106.37,32891,3498615.67,3498615.67,Information Technology,BDFZSP1,US6792951054,NASDAQ
NI,NISOURCE INC,Equity,0.04,29.11,119986,3492792.46,3492792.46,Utilities,2645409,US65473P1057,New York Stock Exchange Inc.
CF,CF INDUSTRIES HOLDINGS INC,Equity,0.04,49.1,71128,3492384.8,3492384.8,Materials,B0G4K50,US1252691001,New York Stock Exchange Inc.
ARNC,ARCONIC INC,Equity,0.04,27.02,128438,3470394.76,3470394.76,Industrials,BD3D9G5,US03965L1008,New York Stock Exchange Inc.
WST,WEST PHARMACEUTICAL SERVICES INC,Equity,0.04,146.09,23530,3437497.7,3437497.7,Health Care,2950482,US9553061055,New York Stock Exchange Inc.
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,Equity,0.04,197.28,17399,3432474.72,3432474.72,Information Technology,2989356,US9892071054,NASDAQ
AAP,ADVANCE AUTO PARTS INC,Equity,0.04,155.2,22104,3430540.8,3430540.8,Consumer Discretionary,2822019,US00751Y1064,New York Stock Exchange Inc.
ELAN,ELANCO ANIMAL HEALTH INC,Equity,0.04,28.38,120376,3416270.88,3416270.88,Health Care,BF5L3T2,US28414H1032,New York Stock Exchange Inc.
PAYC,PAYCOM SOFTWARE INC,Equity,0.03,212.51,15968,3393359.68,3393359.68,Information Technology,BL95MY0,US70432V1026,New York Stock Exchange Inc.
WU,WESTERN UNION,Equity,0.03,23.76,142690,3390314.4,3390314.4,Information Technology,B1F76F9,US9598021098,New York Stock Exchange Inc.
EMN,EASTMAN CHEMICAL,Equity,0.03,74.67,45364,3387329.88,3387329.88,Materials,2298386,US2774321002,New York Stock Exchange Inc.
LW,LAMB WESTON HOLDINGS INC,Equity,0.03,71.95,46951,3378124.45,3378124.45,Consumer Staples,BDQZFJ3,US5132721045,New York Stock Exchange Inc.
AES,AES CORP,Equity,0.03,15.67,215468,3376383.56,3376383.56,Utilities,2002479,US00130H1059,New York Stock Exchange Inc.
ARMK,ARAMARK,Equity,0.03,43.12,78295,3376080.4,3376080.4,Consumer Discretionary,BH3XG17,US03852U1060,New York Stock Exchange Inc.
PNW,PINNACLE WEST CORP,Equity,0.03,93.28,36064,3364049.92,3364049.92,Utilities,2048804,US7234841010,New York Stock Exchange Inc.
MRO,MARATHON OIL CORP,Equity,0.03,12.58,266233,3349211.14,3349211.14,Energy,2910970,US5658491064,New York Stock Exchange Inc.
FDS,FACTSET RESEARCH SYSTEMS INC,Equity,0.03,276.65,12097,3346635.05,3346635.05,Financials,2329770,US3030751057,New York Stock Exchange Inc.
UGI,UGI CORP,Equity,0.03,49.31,67412,3324085.72,3324085.72,Utilities,2910118,US9026811052,New York Stock Exchange Inc.
FRT,FEDERAL REALTY INVESTMENT TRUST RE,Equity,0.03,135.76,24386,3310643.36,3310643.36,Real Estate,2333931,US3137472060,New York Stock Exchange Inc.
GL,GLOBE LIFE INC,Equity,0.03,94.73,34894,3305508.62,3305508.62,Financials,BK6YKG1,US37959E1029,New York Stock Exchange Inc.
DPZ,DOMINOS PIZZA INC,Equity,0.03,246.79,13393,3305258.47,3305258.47,Consumer Discretionary,B01SD70,US25754A2015,New York Stock Exchange Inc.
RE,EVEREST RE GROUP LTD,Equity,0.03,251.7,13107,3299031.9,3299031.9,Financials,2556868,BMG3223R1088,New York Stock Exchange Inc.
LKQ,LKQ CORP,Equity,0.03,32.55,101142,3292172.1,3292172.1,Consumer Discretionary,2971029,US5018892084,NASDAQ
NRG,NRG ENERGY INC,Equity,0.03,38.29,85821,3286086.09,3286086.09,Utilities,2212922,US6293775085,New York Stock Exchange Inc.
URI,UNITED RENTALS INC,Equity,0.03,128,25673,3286144,3286144,Industrials,2134781,US9113631090,New York Stock Exchange Inc.
CPT,CAMDEN PROPERTY TRUST REIT,Equity,0.03,108.97,30060,3275638.2,3275638.2,Real Estate,2166320,US1331311027,New York Stock Exchange Inc.
DVN,DEVON ENERGY CORP,Equity,0.03,24.56,133372,3275616.32,3275616.32,Energy,2480677,US25179M1036,New York Stock Exchange Inc.
PKG,PACKAGING CORP OF AMERICA,Equity,0.03,107.03,30581,3273084.43,3273084.43,Materials,2504566,US6951561090,New York Stock Exchange Inc.
WRB,WR BERKLEY CORP,Equity,0.03,71.26,45870,3268696.2,3268696.2,Financials,2093644,US0844231029,New York Stock Exchange Inc.
RGA,REINSURANCE GROUP OF AMERICA INC,Equity,0.03,159.2,20194,3214884.8,3214884.8,Financials,2731193,US7593516047,New York Stock Exchange Inc.
CMA,COMERICA INC,Equity,0.03,64.76,49458,3202900.08,3202900.08,Financials,2212870,US2003401070,New York Stock Exchange Inc.
TYL,TYLER TECHNOLOGIES INC,Equity,0.03,258.39,12395,3202744.05,3202744.05,Information Technology,2909644,US9022521051,New York Stock Exchange Inc.
JBHT,JB HUNT TRANSPORT SERVICES INC,Equity,0.03,114.5,27837,3187336.5,3187336.5,Industrials,2445416,US4456581077,NASDAQ
TRMB,TRIMBLE INC,Equity,0.03,38.88,81690,3176107.2,3176107.2,Information Technology,2903958,US8962391004,NASDAQ
IRM,IRON MOUNTAIN INC,Equity,0.03,34.14,92904,3171742.56,3171742.56,Real Estate,BVFTF03,US46284V1017,New York Stock Exchange Inc.
VICI,VICI PPTYS INC,Equity,0.03,22,143858,3164876,3164876,Real Estate,BYWH073,US9256521090,New York Stock Exchange Inc.
AVY,AVERY DENNISON CORP,Equity,0.03,113,27966,3160158,3160158,Materials,2066408,US0536111091,New York Stock Exchange Inc.
TER,TERADYNE INC,Equity,0.03,57.39,55019,3157540.41,3157540.41,Information Technology,2884183,US8807701029,NASDAQ
TAP,MOLSON COORS BREWING CLASS B,Equity,0.03,56.25,56103,3155793.75,3155793.75,Consumer Staples,B067BM3,US60871R2094,New York Stock Exchange Inc.
HSIC,HENRY SCHEIN INC,Equity,0.03,65.03,48492,3153434.76,3153434.76,Health Care,2416962,US8064071025,NASDAQ
WRK,WESTROCK,Equity,0.03,38.44,81251,3123288.44,3123288.44,Materials,BYR0914,US96145D1054,New York Stock Exchange Inc.
VER,VEREIT INC,Equity,0.03,9.77,319034,3116962.18,3116962.18,Real Estate,BYVVTJ1,US92339V1008,New York Stock Exchange Inc.
EPAM,EPAM SYSTEMS INC,Equity,0.03,184.17,16852,3103632.84,3103632.84,Information Technology,B44Z3T8,US29414B1044,New York Stock Exchange Inc.
BAH,BOOZ ALLEN HAMILTON HOLDING CORP C,Equity,0.03,70.55,43984,3103071.2,3103071.2,Information Technology,B5367T7,US0995021062,New York Stock Exchange Inc.
ALLE,ALLEGION PLC,Equity,0.03,100.33,30887,3098892.71,3098892.71,Industrials,BFRT3W7,IE00BFRT3W74,New York Stock Exchange Inc.
DOCU,DOCUSIGN INC,Equity,0.03,62.93,49198,3096030.14,3096030.14,Information Technology,BFYT7B7,US2561631068,NASDAQ
ATUS,ALTICE USA INC CLASS A,Equity,0.03,29.07,105909,3078774.63,3078774.63,Communication,BDRY7P9,US02156K1034,New York Stock Exchange Inc.
MTN,VAIL RESORTS INC,Equity,0.03,239.34,12842,3073604.28,3073604.28,Consumer Discretionary,2954194,US91879Q1094,New York Stock Exchange Inc.
QRVO,QUORVO INC,Equity,0.03,77.8,39271,3055283.8,3055283.8,Information Technology,BR9YYP4,US74736K1016,NASDAQ
WTR,AQUA AMERICA INC,Equity,0.03,43.46,70256,3053325.76,3053325.76,Utilities,2685234,US03836W1036,New York Stock Exchange Inc.
PKI,PERKINELMER INC,Equity,0.03,86.12,35346,3043997.52,3043997.52,Health Care,2305844,US7140461093,New York Stock Exchange Inc.
WHR,WHIRLPOOL CORP,Equity,0.03,150.83,20142,3038017.86,3038017.86,Consumer Discretionary,2960384,US9633201069,New York Stock Exchange Inc.
DISCK,DISCOVERY INC SERIES C,Equity,0.03,26.51,113212,3001250.12,3001250.12,Communication,B3D7KG4,US25470F3029,NASDAQ
VIAB,VIACOM INC CLASS B,Equity,0.03,26.22,113785,2983442.7,2983442.7,Communication,B0SRLF4,US92553P2011,NASDAQ
USFD,US FOODS HOLDING CORP,Equity,0.03,42.4,69796,2959350.4,2959350.4,Consumer Staples,BYVFC94,US9120081099,New York Stock Exchange Inc.
APA,APACHE CORP,Equity,0.03,23.84,123545,2945312.8,2945312.8,Energy,2043962,US0374111054,New York Stock Exchange Inc.
SIRI,SIRIUS XM HOLDINGS INC,Equity,0.03,6.45,456452,2944115.4,2944115.4,Communication,BGLDK10,US82968B1035,NASDAQ
LYV,LIVE NATION ENTERTAINMENT INC,Equity,0.03,70.63,41560,2935382.8,2935382.8,Communication,B0T7YX2,US5380341090,New York Stock Exchange Inc.
SNA,SNAP ON INC,Equity,0.03,162.86,18004,2932131.44,2932131.44,Industrials,2818740,US8330341012,New York Stock Exchange Inc.
NOV,NATIONAL OILWELL VARCO INC,Equity,0.03,23.1,126758,2928109.8,2928109.8,Energy,2624486,US6370711011,New York Stock Exchange Inc.
RNG,RINGCENTRAL INC CLASS A,Equity,0.03,127.36,22917,2918709.12,2918709.12,Information Technology,BDZCRX3,US76680R2067,New York Stock Exchange Inc.
DOX,AMDOCS LTD,Equity,0.03,66.18,44045,2914898.1,2914898.1,Information Technology,2256908,GB0022569080,NASDAQ
PHM,PULTEGROUP INC,Equity,0.03,35.07,83043,2912318.01,2912318.01,Consumer Discretionary,2708841,US7458671010,New York Stock Exchange Inc.
FICO,FAIR ISAAC CORP,Equity,0.03,313.26,9290,2910185.4,2910185.4,Information Technology,2330299,US3032501047,New York Stock Exchange Inc.
BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS I,Equity,0.03,154.04,18825,2899803,2899803,Consumer Discretionary,B7MJWP2,US1091941005,New York Stock Exchange Inc.
BKI,BLACK KNIGHT INC,Equity,0.03,62.11,46426,2883518.86,2883518.86,Information Technology,BDG75V1,US09215C1053,New York Stock Exchange Inc.
RPM,RPM INTERNATIONAL INC,Equity,0.03,68.83,41745,2873308.35,2873308.35,Materials,2756174,US7496851038,New York Stock Exchange Inc.
TRGP,TARGA RESOURCES CORP,Equity,0.03,39.28,72904,2863669.12,2863669.12,Energy,B55PZY3,US87612G1013,New York Stock Exchange Inc.
SPR,SPIRIT AEROSYSTEMS INC CLASS A,Equity,0.03,84.4,33789,2851791.6,2851791.6,Industrials,B1HMMS7,US8485741099,New York Stock Exchange Inc.
WEX,WEX INC,Equity,0.03,205.43,13857,2846643.51,2846643.51,Information Technology,B8383P2,US96208T1043,New York Stock Exchange Inc.
NNN,NATIONAL RETAIL PROPERTIES REIT IN,Equity,0.03,54.39,52193,2838777.27,2838777.27,Real Estate,2211811,US6374171063,New York Stock Exchange Inc.
ALNY,ALNYLAM PHARMACEUTICALS INC,Equity,0.03,83.17,34124,2838093.08,2838093.08,Health Care,B00FWN1,US02043Q1076,NASDAQ
HII,HUNTINGTON INGALLS INDUSTRIES INC,Equity,0.03,216.79,13091,2837997.89,2837997.89,Industrials,B40SSC9,US4464131063,New York Stock Exchange Inc.
GWRE,GUIDEWIRE SOFTWARE INC,Equity,0.03,107.49,26387,2836338.63,2836338.63,Information Technology,B7JYSG3,US40171V1008,New York Stock Exchange Inc.
OHI,OMEGA HEALTHCARE INVESTORS REIT IN,Equity,0.03,41.16,68794,2831561.04,2831561.04,Real Estate,2043274,US6819361006,New York Stock Exchange Inc.
DXC,DXC TECHNOLOGY,Equity,0.03,32.48,86512,2809909.76,2809909.76,Information Technology,BYXD7B3,US23355L1061,New York Stock Exchange Inc.
OGE,OGE ENERGY CORP,Equity,0.03,43.92,63796,2801920.32,2801920.32,Utilities,2657802,US6708371033,New York Stock Exchange Inc.
IONS,IONIS PHARMACEUTICALS INC,Equity,0.03,66.88,41836,2797991.68,2797991.68,Health Care,BDJ0LS6,US4622221004,NASDAQ
PODD,INSULET CORP,Equity,0.03,144.52,19141,2766257.32,2766257.32,Health Care,B1XGNW4,US45784P1012,NASDAQ
FWONK,LIBERTY MEDIA FORMULA ONE CORP SER,Equity,0.03,42.54,64969,2763781.26,2763781.26,Communication,BD8QGD5,US5312298541,NASDAQ
AZPN,ASPEN TECHNOLOGY INC,Equity,0.03,124.84,22110,2760212.4,2760212.4,Information Technology,2051868,US0453271035,NASDAQ
CCK,CROWN HOLDINGS INC,Equity,0.03,64.76,42562,2756315.12,2756315.12,Materials,2427986,US2283681060,New York Stock Exchange Inc.
CY,CYPRESS SEMICONDUCTOR CORP,Equity,0.03,23.33,117988,2752660.04,2752660.04,Information Technology,2244549,US2328061096,NASDAQ
BRO,BROWN & BROWN INC,Equity,0.03,35.96,76471,2749897.16,2749897.16,Financials,2692687,US1152361010,New York Stock Exchange Inc.
NBIX,NEUROCRINE BIOSCIENCES INC,Equity,0.03,94.13,29197,2748313.61,2748313.61,Health Care,2623911,US64125C1099,NASDAQ
KSS,KOHLS CORP,Equity,0.03,52.36,52341,2740574.76,2740574.76,Consumer Discretionary,2496113,US5002551043,New York Stock Exchange Inc.
CSL,CARLISLE COMPANIES INC,Equity,0.03,147.4,18539,2732648.6,2732648.6,Industrials,2176318,US1423391002,New York Stock Exchange Inc.
LII,LENNOX INTERNATIONAL INC,Equity,0.03,233.05,11707,2728316.35,2728316.35,Industrials,2442053,US5261071071,New York Stock Exchange Inc.
SCI,SERVICE,Equity,0.03,47.39,57502,2725019.78,2725019.78,Consumer Discretionary,2797560,US8175651046,New York Stock Exchange Inc.
NDSN,NORDSON CORP,Equity,0.03,146.8,18518,2718442.4,2718442.4,Industrials,2641838,US6556631025,NASDAQ
DISH,DISH NETWORK CORP CLASS A,Equity,0.03,35.89,75566,2712063.74,2712063.74,Communication,2303581,US25470M1099,NASDAQ
CGNX,COGNEX CORP,Equity,0.03,50.05,54087,2707054.35,2707054.35,Information Technology,2208288,US1924221039,NASDAQ
AGNC,AGNC INVESTMENT REIT CORP,Equity,0.03,15.64,172907,2704265.48,2704265.48,Financials,BYYHJL8,US00123Q1040,NASDAQ
BEN,FRANKLIN RESOURCES INC,Equity,0.03,29.79,90682,2701416.78,2701416.78,Financials,2350684,US3546131018,New York Stock Exchange Inc.
FFIV,F5 NETWORKS INC,Equity,0.03,141.29,19090,2697226.1,2697226.1,Information Technology,2427599,US3156161024,NASDAQ
ST,SENSATA TECHNOLOGIES HOLDING PLC,Equity,0.03,50.91,52758,2685909.78,2685909.78,Industrials,BFMBMT8,GB00BFMBMT84,New York Stock Exchange Inc.
ABMD,ABIOMED INC,Equity,0.03,188.02,14288,2686429.76,2686429.76,Health Care,2003698,US0036541003,NASDAQ
JNPR,JUNIPER NETWORKS INC,Equity,0.03,24.44,109733,2681874.52,2681874.52,Information Technology,2431846,US48203R1041,New York Stock Exchange Inc.
COUP,COUPA SOFTWARE INC,Equity,0.03,136.18,19699,2682609.82,2682609.82,Information Technology,BD87XR1,US22266L1061,NASDAQ
KIM,KIMCO REALTY REIT CORP,Equity,0.03,20.39,131376,2678756.64,2678756.64,Real Estate,2491594,US49446R1095,New York Stock Exchange Inc.
BWA,BORGWARNER INC,Equity,0.03,39.24,68264,2678679.36,2678679.36,Consumer Discretionary,2111955,US0997241064,New York Stock Exchange Inc.
DELL,DELL TECHNOLOGIES INC CLASS C,Equity,0.03,54.15,49445,2677446.75,2677446.75,Information Technology,BHKD3S6,US24703L2025,New York Stock Exchange Inc.
CONE,CYRUSONE REIT INC,Equity,0.03,74.17,36032,2672493.44,2672493.44,Real Estate,B7YRLH9,US23283R1005,NASDAQ
MPW,MEDICAL PROPERTIES TRUST REIT INC,Equity,0.03,18.94,140686,2664592.84,2664592.84,Real Estate,B0JL5L9,US58463J3041,New York Stock Exchange Inc.
ON,ON SEMICONDUCTOR CORP,Equity,0.03,20.03,132850,2660985.5,2660985.5,Information Technology,2583576,US6821891057,NASDAQ
W,WAYFAIR INC CLASS A,Equity,0.03,133.83,19804,2650369.32,2650369.32,Consumer Discretionary,BQXZP64,US94419L1017,New York Stock Exchange Inc.
CPB,CAMPBELL SOUP,Equity,0.03,47.15,56144,2647189.6,2647189.6,Consumer Staples,2162845,US1344291091,New York Stock Exchange Inc.
RGLD,ROYAL GOLD INC,Equity,0.03,123.13,21443,2640276.59,2640276.59,Materials,2755706,US7802871084,NASDAQ
IPG,INTERPUBLIC GROUP OF COMPANIES INC,Equity,0.03,21.11,124868,2635963.48,2635963.48,Communication,2466321,US4606901001,New York Stock Exchange Inc.
RNR,RENAISSANCERE HOLDING LTD,Equity,0.03,187.3,14041,2629879.3,2629879.3,Financials,2728429,BMG7496G1033,New York Stock Exchange Inc.
BG,BUNGE LTD,Equity,0.03,57.5,45741,2630107.5,2630107.5,Consumer Staples,2788713,BMG169621056,New York Stock Exchange Inc.
SAGE,SAGE THERAPEUTICS INC,Equity,0.03,160.9,16244,2613659.6,2613659.6,Health Care,BP4GNK9,US78667J1088,NASDAQ
TTD,TRADE DESK INC CLASS A,Equity,0.03,213.89,12206,2610741.34,2610741.34,Information Technology,BD8FDD1,US88339J1051,NASDAQ
HFC,HOLLYFRONTIER CORP,Equity,0.03,50.69,51416,2606277.04,2606277.04,Energy,B5VX1H6,US4361061082,New York Stock Exchange Inc.
ZEN,ZENDESK INC,Equity,0.03,74.23,35034,2600573.82,2600573.82,Information Technology,BMH0MR7,US98936J1016,New York Stock Exchange Inc.
ZION,ZIONS BANCORPORATION,Equity,0.03,44.63,57969,2587156.47,2587156.47,Financials,2989828,US9897011071,NASDAQ
NLSN,NIELSEN HOLDINGS PLC,Equity,0.03,22.51,114896,2586308.96,2586308.96,Industrials,BWFY550,GB00BWFY5505,New York Stock Exchange Inc.
SEIC,SEI INVESTMENTS,Equity,0.03,60.74,42481,2580295.94,2580295.94,Financials,2793610,US7841171033,NASDAQ
ALK,ALASKA AIR GROUP INC,Equity,0.03,65.68,39056,2565198.08,2565198.08,Industrials,2012605,US0116591092,New York Stock Exchange Inc.
COG,CABOT OIL & GAS CORP,Equity,0.03,18.65,137380,2562137,2562137,Energy,2162340,US1270971039,New York Stock Exchange Inc.
AIZ,ASSURANT INC,Equity,0.03,125.6,20105,2525188,2525188,Financials,2331430,US04621X1081,New York Stock Exchange Inc.
FBHS,FORTUNE BRANDS HOME AND SECURITY I,Equity,0.03,54.25,46520,2523710,2523710,Industrials,B3MC7D6,US34964C1062,New York Stock Exchange Inc.
LEA,LEAR CORP,Equity,0.03,126.05,19980,2518479,2518479,Consumer Discretionary,B570P91,US5218652049,New York Stock Exchange Inc.
SGEN,SEATTLE GENETICS INC,Equity,0.03,70.88,35431,2511349.28,2511349.28,Health Care,2738127,US8125781026,NASDAQ
OLED,UNIVERSAL DISPLAY CORP,Equity,0.03,183.49,13622,2499500.78,2499500.78,Information Technology,2277880,US91347P1057,NASDAQ
KRC,KILROY REALTY REIT CORP,Equity,0.03,77.34,32282,2496689.88,2496689.88,Real Estate,2495529,US49427F1084,New York Stock Exchange Inc.
DVA,DAVITA INC,Equity,0.03,60.3,41366,2494369.8,2494369.8,Health Care,2898087,US23918K1088,New York Stock Exchange Inc.
VOYA,VOYA FINANCIAL INC,Equity,0.03,53.85,46297,2493093.45,2493093.45,Financials,BKWQ2N2,US9290891004,New York Stock Exchange Inc.
GGG,GRACO INC,Equity,0.03,46.9,52941,2482932.9,2482932.9,Industrials,2380443,US3841091040,New York Stock Exchange Inc.
MOS,MOSAIC,Equity,0.03,21.98,112814,2479651.72,2479651.72,Materials,B3NPHP6,US61945C1036,New York Stock Exchange Inc.
TTC,TORO,Equity,0.03,73.6,33595,2472592,2472592,Industrials,2897040,US8910921084,New York Stock Exchange Inc.
AIV,APARTMENT INVESTMENT AND MANAGEMEN,Equity,0.03,51.11,48368,2472088.48,2472088.48,Real Estate,BJLNBG3,US03748R7540,New York Stock Exchange Inc.
GLPI,GAMING AND LEISURE PROPERTIES REIT,Equity,0.03,38.48,64207,2470685.36,2470685.36,Real Estate,BFPK4S5,US36467J1088,NASDAQ
LPT,LIBERTY PROPERTY REIT TRUST,Equity,0.03,51.36,47966,2463533.76,2463533.76,Real Estate,2513681,US5311721048,New York Stock Exchange Inc.
CTLT,CATALENT INC,Equity,0.03,51.95,47380,2461391,2461391,Health Care,BP96PQ4,US1488061029,New York Stock Exchange Inc.
AFG,AMERICAN FINANCIAL GROUP INC,Equity,0.03,106.31,23113,2457143.03,2457143.03,Financials,2134532,US0259321042,New York Stock Exchange Inc.
ZAYO,ZAYO GROUP HOLDINGS INC,Equity,0.03,33.86,72344,2449567.84,2449567.84,Communication,BRJ3H07,US98919V1052,New York Stock Exchange Inc.
TECH,BIO TECHNE CORP,Equity,0.03,199.92,12243,2447620.56,2447620.56,Health Care,BSHZ3Q0,US09073M1045,NASDAQ
STOR,STORE CAPITAL CORP,Equity,0.03,36.59,66707,2440809.13,2440809.13,Real Estate,BSKRKJ5,US8621211007,New York Stock Exchange Inc.
TPR,TAPESTRY INC,Equity,0.03,25.58,95292,2437569.36,2437569.36,Consumer Discretionary,BF09HX3,US8760301072,New York Stock Exchange Inc.
